,base_market,quote_market,hedge_ratio,half_life
140,AUD_NZD,EUR_PLN,0.2593640452494431,16.0
141,AUD_NZD,NZD_HKD,0.253165230788474,18.0
142,AUD_NZD,USD_CNH,0.150919827476836,21.0
143,AUD_NZD,EUR_SEK,0.0963217051472089,18.0
144,AUD_NZD,USD_SGD,0.8109969861518026,19.0
145,USD_ZAR,USD_SEK,1.687552907773779,21.0
146,GBP_AUD,GBP_USD,1.6084074070934697,17.0
147,USD_PLN,USD_SEK,0.3713853230521461,17.0
148,NZD_USD,EUR_USD,0.5433630332749187,19.0
149,NZD_USD,EUR_CAD,0.3777206254643531,11.0
150,NZD_USD,AUD_CAD,0.6283343341993004,11.0
151,NZD_USD,NZD_CAD,0.6951663678470954,8.0
152,NZD_USD,EUR_NOK,0.047769102659925386,14.0
153,EUR_USD,EUR_CAD,0.6951544317658185,8.0
154,EUR_USD,NZD_CAD,1.2793679878565687,15.0
155,EUR_CAD,NZD_CAD,1.8404054267747731,18.0
156,EUR_CAD,EUR_NOK,0.12646674488566714,13.0
157,GBP_CAD,GBP_USD,1.4385171412907816,8.0
158,EUR_PLN,NZD_HKD,0.9760954791512736,18.0
159,EUR_PLN,EUR_CHF,4.547139997211245,23.0
160,GBP_USD,GBP_NZD,0.5619699713979683,20.0
161,CAD_SGD,USD_CNH,0.12936128444326916,7.0
162,NZD_HKD,NZD_CAD,5.405961004167044,9.0
163,NZD_HKD,EUR_NOK,0.3714761217413771,15.0
164,SGD_CHF,USD_TRY,0.018807682216972356,9.0
165,NZD_JPY,TRY_JPY,19.910180278220224,13.0
166,GBP_PLN,GBP_NZD,2.3177647362725176,15.0
